question,type,answer,prediction,meteor_score,bleu_score,rouge_1,rouge_2,rouge_l,Accuracy_pred,Accuracy_ref,Token_count
Which of the following is not usually an adverse reaction to chronic treatment with corticoids ?:,FCT,Arterial hypotension.,"Correct answer: 1 (Osteoporosis.)

Explanation: Hypercholesterolemia and hyperlipidemia are common adverse effects of chronic corticosteroid treatment, which can lead to increased deposition of cholesterol and lipids in tissues. Arterial hypotension can occur due to vasodilation and decreased peripheral resistance. Osteoporosis is also a well-known adverse effect of chronic corticosteroid use, which can lead to bone loss and increased risk of fractures. Hyperglycemia is not a specific adverse effect of corticosteroids, as it can be seen with other medications and underlying conditions as well",0.211202938,2.03E-155,0.064516128,0.025974026,0.064516128,0.023809524,1,188
"If the symphysiofundal height is 40 cm and the station of the head is at -1, weight of the fetus is approximately",FCT,4.3 kg,"The correct answer is: 4 kg

Explanation: The symphysiofundal height is used to estimate the weight of the fetus. A symphysiofundal height of 40 cm corresponds to a weight of approximately 4 kg. This is because the symphysiofundal height is directly proportional to the square root of the fetal weight. A station of the head at -1 cm corresponds to a weight of 3.9 kg. Therefore, the estimated weight of the fetus is 4 kg.",0.04950495,6.04E-232,0.146341462,0,0.146341462,0.013157895,0.333333333,179
What disorder of the personality includes as criteria to express a superficial and rapidly changing emotional expression ?:,FCT,The histrionic disorder of the personality.,"The correct answer is:

2. Both the narcissistic disorder and the personality limit.

Explanation:

Histrionic personality disorder is characterized by exaggerated emotional expression, attention-seeking behavior, and dramatic displays of emotions. This includes superficial and rapidly changing emotional expressions.

The options are:

* Option 1: Incorrect, histrionic personality disorder is not the same as the disorder of the personality.
* Option 2: Correct, histrionic personality disorder and narcissistic personality disorder both feature exaggerated emotional expression.
* Option 3: Incorrect, histrionic personality disorder is not related to dependence personality disorder.
* Option 4: Incorrect, h",0.272495362,0.032290464,0.203389829,0.074999999,0.203389829,0.044444444,0.666666667,202
"What are the distinctive characteristics of ""Contextual Therapies"":",FCT,"The relevance that these therapies confer to the context, to the verbal behavior and to the functions of the behaviors rather than to their form.","The student answer is correct.

The correct option is:

2. The consideration of variables so far not taken into account as motivations, interests, learning history and customer values, among other contextual variables.

The explanation is:

Contextual therapies focus on the consideration of variables that were previously not taken into account, such as motivations, interests, learning history, and customer values, among others, which are considered essential for understanding and treating the patient. This is in contrast to other therapies that may focus only on the patient's symptoms or cognitive factors.",0.171919771,1.03E-231,0.177215186,0,0.126582275,0.011111111,0.04,318
Which among the following shows pseudo-epitheliomatous hyperplasia?,FCT,Granular cell myoblastorna,"Correct answer: b (Basal cell carcinoma)

Explanation: Pseudoepitheliomatous hyperplasia is a histopathological finding that resembles epithelial hyperplasia with formation of epithelial pearls and strands, which can be seen in certain conditions like granular cell tumors, squamous cell carcinoma and basal cell carcinoma. Among the options, basal cell carcinoma is the correct answer.",0.113636364,6.52E-232,0.046511627,0,0.046511627,0.038461538,0.666666667,180
A lady washes her hands 40 times per day for no apparent reason.  Cognitive behavior therapy for her treatment should include?,FCT,Response prevention,"The correct answer is: Desensitisation

Explanation: The lady's behavior is likely an example of obsessive-compulsive disorder (OCD), which is characterized by recurring, intrusive thoughts (obsessions) and repetitive, ritualistic behaviors (compulsions) that an individual feels driven to perform.

Desensitization is a cognitive-behavioral therapy technique used to treat OCD, where the individual is gradually exposed to the feared situation or object while learning relaxation techniques to reduce anxiety. In this case, the therapist would help the lady gradually expose herself to situations that trigger her hand washing compulsion, while teaching her relaxation techniques to reduce",0,0,0,0,0,0,0,175
Which of the following is NOT an intravenous anesthetic ?:,FCT,Halotano.,"The student answer is correct.

Explanation: Ketamine is an intravenous anesthetic agent, which means it can induce general anesthesia when used as a sole agent. The other options, propofol, halothane, and etomidate, are also intravenous anesthetics, but they are not as potent as ketamine in inducing anesthesia when used alone. However, ketamine is indeed an intravenous anesthetic agent, which is why the student's answer is correct.",0.051020408,6.09E-232,0,0,0,0,0,164
Mother to children's transmission is a key feature of which pattern of inheritance?,FCT,Mitochondrial inheritance,"Correct answer: mitochondrial inheritance

Explanation: Mother-to-child transmission is a characteristic feature of mitochondrial inheritance, where only maternal lineage is involved in the transmission of mitochondrial DNA. In this type of inheritance, only the mother's genes are involved in the transmission of the disease, as the father does not contribute to the mitochondrial DNA of the offspring.",0.12195122,6.44E-232,0.054054053,0,0.054054053,0.033898305,1,170
Nutrient aery runs ?,FCT,Towards metaphysis,"The correct answer is:

1

Explanation:

The nutrient aery runs towards the metaphysis, not away from it. The metaphysis is the growing region of the bone, and the nutrient aery supplies it with oxygen and nutrients.",0.166666667,7.16E-232,0.068965516,0,0.068965516,0.027777778,0.5,159
Amphotericin B is an antifungal agent that is characterized by:,FCT,"Half of its structure is hydrophilic and the other half lipophilic, and interacts with the lipids of the membrane to form a tunnel by association of several molecules.","The student answer is correct.

The explanation is as follows:

Amphotericin B is an antifungal agent that interacts with the membrane phospholipids to form a channel that allows the transport of ions, including potassium, out of the cell, which is lethal to fungi. This property is due to the presence of a helical structure in the molecule that allows it to cross the membrane and form a channel. The correct option is indeed option 3.",0.345475662,1.69E-78,0.309859151,0.123711336,0.253521122,0.04,0.107142857,313
