File Name,accuracy,f1,precision,recall
Final Evaluation/Halueval\Base_model\base_model.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\Base_model\quantize_base_model.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA1.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA10_Best_model.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA10_Last_model.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA11.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA2.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA3.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA4.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA5.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA6.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA7.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA8.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
Final Evaluation/Halueval\LoRA\LoRA9.csv,0.5009009009009009,0.6674669867947179,0.5009009009009009,1.0
